"LISTING_ID","COMPANY_CODE","COUNTRY_CODE","ICB5_INDUSTRY_CODE","ICB5_SECTOR_CODE","ICB5_SUBSEC_CODE","ICB5_SUPERSEC_CODE","REGION_GROUP","REGION_NAME","RIC_EXTENSION","SIZE_GROUP","STYLE_GROUP"
38,"444747","FI","50","502030","50203030","5020","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##EUROZONE##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##NORDIC##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_NORDIC##SW_EUROPEAN_UNION##SW_EUROZONE##SW_DM_SOUTH_KOREA##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_EUROZONE##SW_DM_NORDIC##","HE","S","S"
41,"447757","TR","55","551020","55102010","5510","LEU","##BALKAN##DEV-EMER-MARKET##EAST-EU-EX-GR##EAST-EU-EX-RU##EASTERNEUROPE##EMER-MKT-X-BRIC##EMERGINGMARKETS##EUROPE-NEW##GLB-EX-EASTASIA##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_BALKAN##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","IS","S","S"
42,"451180","DE","30","303020","30302020","3030","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##EUROZONE##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_EUROPEAN_UNION##SW_EUROZONE##SW_DM_SOUTH_KOREA##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_EUROZONE##","DE","M","M"
43,"451944","CZ","30","301010","30101010","3010","LEU","##DEV-EMER-MARKET##EAST-EU-EX-GR##EAST-EU-EX-RU##EASTERNEUROPE##EU-ENLARGED##EUROPE-NEW##GLB-EX-EASTASIA##GLOBAL-NEW##EMER-MKT-X-BRIC##EMERGINGMARKETS##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_EUROPEAN_UNION##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","PR","M","M"
44,"452518","FI","50","502040","50204030","5020","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##EUROZONE##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##NORDIC##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_NORDIC##SW_EUROPEAN_UNION##SW_EUROZONE##SW_DM_SOUTH_KOREA##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_EUROZONE##SW_DM_NORDIC##","HE","M","M"
46,"412162","TR","50","501010","50101030","5010","LEU","##BALKAN##DEV-EMER-MARKET##EAST-EU-EX-GR##EAST-EU-EX-RU##EASTERNEUROPE##EMER-MKT-X-BRIC##EMERGINGMARKETS##EUROPE-NEW##GLB-EX-EASTASIA##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_BALKAN##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","IS","S","S"
47,"415265","SE","30","302020","30202000","3020","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-EURO##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##NORDIC##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_NORDIC##SW_EUROPEAN_UNION##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_NORDIC##","ST","S","S"
48,"416921","DK","45","451010","45101010","4510","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-EURO##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##NORDIC##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_NORDIC##SW_EUROPEAN_UNION##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_NORDIC##","CO","M","M"
49,"423586","GR","30","301010","30101010","3010","LEU","##BALKAN##DEV-EMER-MARKET##EAST-EU-EX-RU##EASTERNEUROPE##EMER-MKT-X-BRIC##EMERGINGMARKETS##EUROPE-NEW##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLOBAL-NEW##GLB-EX-EASTASIA##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_BALKAN##SW_EUROPEAN_UNION##SW_EUROZONE##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","AT","M","M"
51,"489421","TR","40","401010","40101020","4010","LEU","##BALKAN##DEV-EMER-MARKET##EAST-EU-EX-GR##EAST-EU-EX-RU##EASTERNEUROPE##EMER-MKT-X-BRIC##EMERGINGMARKETS##EUROPE-NEW##GLB-EX-EASTASIA##GLOBAL-NEW##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_BALKAN##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","IS","M","M"
74,"555255","PL","15","151020","15102015","1510","LEU","##DEV-EMER-MARKET##EAST-EU-EX-GR##EAST-EU-EX-RU##EASTERNEUROPE##EU-ENLARGED##EUROPE-NEW##GLB-EX-EASTASIA##GLOBAL-NEW##DEVELOPEDMARKET##EU-OLD-EX-EURO##EU-OLD-EX-UK##EUROPE-OLD##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLOBAL-OLD##SW_DM_EM##SW_EM##SW_EUROPE##SW_EASTERN_EUROPE##SW_EUROPEAN_UNION##SW_EM_EX_GCC##SW_DM_EM_EUROPE##SW_EM_EUROPE##","WA","M","M"
75,"570151","FI","15","151020","15102015","1510","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##EUROZONE##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##NORDIC##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_NORDIC##SW_EUROPEAN_UNION##SW_EUROZONE##SW_DM_SOUTH_KOREA##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_EUROZONE##SW_DM_NORDIC##","HE","M","M"
76,"506506","SE","15","151020","15102015","1510","LEU","##DEV-EMER-MARKET##DEVELOPEDMARKET##EU-OLD-EX-EURO##EU-OLD-EX-UK##EUROPE-NEW##EUROPE-OLD##GL-OLD-EX-AM-O##GL-OLD-EX-AS-O##GLB-EX-EASTASIA##GLOBAL-NEW##GLOBAL-OLD##NORDIC##SW_DM_EM##SW_DM##SW_EUROPE##SW_WESTERN_EUROPE##SW_NORDIC##SW_EUROPEAN_UNION##SW_DM_SOUTH_KOREA##SW_DM_EX_EUROZONE##SW_DM_EM_EUROPE##SW_DM_EUROPE##SW_DM_NORDIC##","ST","L","L"
