LISTING_ID,FREE_FLOAT_FACTOR,TRADE_DAYS_6M,DWH_INSTRUMENT_ID,DWH_LISTING_ID,IN_EXCLUSION_LIST,AVG_MCAP_20D,XETRA_TRADING_TYPE,IS_SIBLING_BY_ISSUER_IN_BLUE,COMPLIANCE_CHECK,COMPLIANCE_CHECK_GF_RULE_FLAG,ANN_REP_BREACH_4M,ANN_REP_RECD,SEMI_ANN_REP_BREACH_3M,SEMI_ANN_REP_RECD,QTLY_REP_BREACH_75D,QTLY_REP_RECD,COUNTRY_ID,IS_EUEFTA_COUNTRY,IS_HEADQUATER_IN_GERMANY,IN_RANKING_LIST_COMPOSITION,SUM_TURNOVER_12M,AVG_TURNOVER_3M,IN_COMPOSITION_DAX30,IN_COMPOSITION_MDAX,SUM_TURNOVER_12M_XETRA,SUM_TURNOVER_3M,SUM_TURNOVER_3M_XETRA,TRADE_DAYS_3M,ISSUER
2574273,0.5232,129,1575420,2574273,0,448617274.9,30,0,1,,,1,,1,,1,DE,1,1,1,1558482833,2866804.25,0,0,1531067155,189209080.5,183710866.5,66,10219
8609719,0.9157,129,4508337,8609719,0,29778729855,30,0,1,,,1,,1,,1,DE,1,1,1,23348943401,76850023.59,1,0,23304697491,5072101557,5064351283,66,10287
1619677,0.3851,129,351628,1619677,0,30886857.11,30,0,1,,,1,,1,,1,DE,1,1,0,4968008.71,21538.08485,0,0,4793764.38,1421513.6,1367182.25,66,103252
1090951,0.3178,129,351828,1090951,0,6605594.763,30,0,0,,,1,0,0,1,0,DE,1,1,0,578789.08,2483.729394,0,0,439387.2,163926.14,139246.46,66,103365
88589,0.031,129,51427,88589,0,28549204.63,30,0,1,,,1,,1,,1,DE,1,1,0,15236263.04,57014.50303,0,0,14431999.73,3762957.2,3529365.16,66,10349
56898584,0.4699,129,299769,56898584,1,,93,0,0,,,1,,1,1,0,DE,1,1,0,163444.85,131.0130303,0,0,0,8646.86,0,66,10386
21733150,1,129,10723423,21733150,0,45879540.54,30,0,1,,,1,,1,,1,DE,1,1,0,9423415.55,32577.43227,0,0,8699730.77,2150110.53,1942862.61,66,10634
88969,0.6012,129,51560,88969,1,,93,0,0,,1,0,0,0,1,0,DE,1,1,0,5778.63,13.28984848,0,0,0,877.13,0,66,10638
85145434,0.5028,129,44097245,85145434,0,18994335.03,30,0,0,,,1,,1,1,0,DE,1,1,0,2825060.99,5018.020455,0,0,2678585.61,331189.35,276456.85,66,10932
1804806,0.5037,129,1104791,1804806,0,65973705.42,30,0,1,,,1,,1,,1,DE,1,1,0,30117984.14,100495.4029,0,0,29587679.12,6632696.59,6482545.67,66,109862
4298111,0.9923,129,2253506,4298111,0,3961723699,30,0,1,,,1,,1,,1,DE,1,1,1,3673312442,13617193,0,1,3652514772,898734738.3,891920794.7,66,11143
81713596,0.4711,129,42079246,81713596,0,3985212.423,30,0,1,,,1,,1,,1,DE,1,1,0,1059844.5,1745.700909,0,0,1005068.48,115216.26,109941.99,66,11147
89715,0.4395,129,51870,89715,1,,93,0,0,,1,0,0,0,1,0,DE,1,1,0,8758.43,47.96893939,0,0,0,3165.95,0,66,11193
21192997,0.3439,129,10292160,21192997,0,11100670.28,30,0,1,,,1,,1,,1,DE,1,1,0,1671135.8,3832.106061,0,0,1526896.35,252919,220630.5,66,11295
50105862,0.5871,129,25003326,50105862,0,148407821.1,30,0,1,,,1,,1,,1,DE,1,1,0,57295990.36,125121.4305,0,0,56297553.21,8258014.41,8096051.51,66,11364
89967,0.4107,129,51919,89967,0,1300934396,30,0,1,,,1,,1,,1,DE,1,1,1,1804909604,6342497.977,0,0,1801748929,418604866.5,417879543.4,66,11390
